date,close,predict,prob_up,real,correct,ret,equity
2025-01-09,1444.0,跌↓,46.3,跌↓,✓,-0.55%,1.0111
2025-01-10,1436.0,跌↓,39.3,涨↑,✗,+0.56%,1.0111
2025-01-13,1443.98,跌↓,35.0,涨↑,✗,+1.98%,1.0111
2025-01-14,1472.5,跌↓,42.3,跌↓,✓,-0.08%,1.0111
2025-01-15,1471.27,涨↑,55.3,跌↓,✗,-1.69%,0.994
2025-01-16,1446.38,跌↓,52.3,涨↑,✗,+0.58%,0.994
2025-01-17,1454.75,跌↓,51.7,涨↑,✗,+1.38%,0.994
2025-01-20,1474.8,涨↑,59.4,跌↓,✗,-0.45%,0.9895
2025-01-21,1468.15,跌↓,49.5,跌↓,✓,-1.85%,0.9895
2025-01-22,1441.0,跌↓,46.2,涨↑,✗,+0.14%,0.9895
2024-12-25,1530.0,跌↓,54.5,跌↓,✓,-0.14%,0.9895
2024-12-26,1527.79,涨↑,56.1,涨↑,✓,+0.08%,0.9902
2024-12-27,1528.97,跌↓,52.3,跌↓,✓,-0.26%,0.9902
2024-12-30,1525.0,跌↓,54.1,跌↓,✓,-0.07%,0.9902
2024-12-31,1524.0,涨↑,58.2,跌↓,✗,-2.36%,0.9669
