板块,代码,名称,现价,涨跌%,成交额(亿),换手%,板块总成交额(亿)
电子化学品Ⅲ,600330,天通股份,6.63,+3.26%,36.146,15.14,210.2
电子化学品Ⅲ,300285,国瓷材料,7.49,+4.17%,15.593,5.45,210.2
电子化学品Ⅲ,300054,鼎龙股份,3.44,-0.63%,14.014,3.66,210.2
电子化学品Ⅲ,688268,华特气体,12.8,-2.52%,12.513,10.49,210.2
电子化学品Ⅲ,301489,思泉新材,10.48,+6.08%,11.147,11.82,210.2
电子化学品Ⅱ,600330,天通股份,6.63,+3.26%,36.146,15.14,210.2
电子化学品Ⅱ,300285,国瓷材料,7.49,+4.17%,15.593,5.45,210.2
电子化学品Ⅱ,300054,鼎龙股份,3.44,-0.63%,14.014,3.66,210.2
电子化学品Ⅱ,688268,华特气体,12.8,-2.52%,12.513,10.49,210.2
电子化学品Ⅱ,301489,思泉新材,10.48,+6.08%,11.147,11.82,210.2
化学原料,600989,宝丰能源,5.42,+0.94%,39.524,1.79,208.6
化学原料,002648,卫星化学,6.17,+5.06%,19.320,1.94,208.6
化学原料,600722,金牛化工,7.33,+1.19%,12.606,12.89,208.6
化学原料,603067,振华股份,4.46,-4.46%,10.260,3.91,208.6
化学原料,600367,红星发展,7.75,+5.64%,9.909,14.56,208.6
其他电子Ⅲ,300475,香农芯创,3.31,+0.50%,55.316,8.21,204.7
其他电子Ⅲ,300131,英唐智控,4.93,+0.45%,30.541,18.89,204.7
其他电子Ⅲ,000062,深圳华强,2.76,+0.38%,12.657,4.22,204.7
其他电子Ⅲ,001287,中电港,5.64,+2.01%,11.573,5.65,204.7
其他电子Ⅲ,002130,沃尔核材,3.94,+2.03%,11.488,4.01,204.7
其他电子Ⅱ,300475,香农芯创,3.31,+0.50%,55.316,8.21,204.7
其他电子Ⅱ,300131,英唐智控,4.93,+0.45%,30.541,18.89,204.7
